,Produto,Total_Receitas_2018Q1,Total_Receitas_2018Q2,Total_Receitas_2018Q3,Total_Receitas_2018Q4,Total_Receitas_2019Q1,Total_Receitas_2019Q2,Total_Receitas_2019Q3,Total_Receitas_2019Q4,Total_Receitas_2020Q1,Total_Receitas_2020Q2,Total_Receitas_2020Q3,Total_Receitas_2020Q4,Total_Receitas_2021Q1,Total_Receitas_2021Q2,Total_Receitas_2021Q3,Total_Receitas_2021Q4,Total_Receitas_2022Q1,Total_Receitas_2022Q2,Total_Receitas_2022Q3,Total_Receitas_2022Q4,Total_Unidades_Vendidas_2018Q1,Total_Unidades_Vendidas_2018Q2,Total_Unidades_Vendidas_2018Q3,Total_Unidades_Vendidas_2018Q4,Total_Unidades_Vendidas_2019Q1,Total_Unidades_Vendidas_2019Q2,Total_Unidades_Vendidas_2019Q3,Total_Unidades_Vendidas_2019Q4,Total_Unidades_Vendidas_2020Q1,Total_Unidades_Vendidas_2020Q2,Total_Unidades_Vendidas_2020Q3,Total_Unidades_Vendidas_2020Q4,Total_Unidades_Vendidas_2021Q1,Total_Unidades_Vendidas_2021Q2,Total_Unidades_Vendidas_2021Q3,Total_Unidades_Vendidas_2021Q4,Total_Unidades_Vendidas_2022Q1,Total_Unidades_Vendidas_2022Q2,Total_Unidades_Vendidas_2022Q3,Total_Unidades_Vendidas_2022Q4,Nome_Produto,Unidade_Produto,Referencia_Produto,DataUltimaAtualizacao_Produto,NomeMarca_Produto,Complemento_Produto,Classificacao11_Produto,Classificacao12_Produto,Classificacao13_Produto,Classificacao14_Produto,Classificacao15_Produto,Nome_Class_11_Produto,Nome_Class_12_Produto,Nome_Class_13_Produto,Nome_Class_14_Produto,Nome_Class_15_Produto
0,1040,0.0,0.0,0.0,0.0277777777777776,0.0092592592592592,0.0,0.0185185185185184,0.0,0.0,0.0185185185185184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MORBIN 322 ALVEJADO POL. ALG.,PR,0,2003-03-31 00:00:00,MORBIN,0,2,3,3,3,12,ACESSÓRIOS,GERAL,GERAL,ANUAL,ATACADOR
1,1061,176.66666666666666,294.44444444444446,88.33333333333333,265.0,294.44444444444446,176.66666666666666,257.96296296296293,147.4074074074074,147.4074074074074,737.037037037037,117.96296296296296,44.25925925925926,0.0,221.2962962962963,0.0,55.37037037037037,110.74074074074073,55.37037037037037,0.0,0.0,6.0,10.0,3.0,9.0,10.0,6.0,7.0,4.0,4.0,20.0,3.0,1.0,0.0,5.0,0.0,1.0,2.0,1.0,0.0,0.0,POLIMET 0043 POLIBARRA,UN,0043,2021-09-17 00:00:00,POLIMET,POLIBARRA,2,2,3,3,17,ACESSÓRIOS,ESPORTIVO,GERAL,ANUAL,BARRA
2,1062,0.0,0.0,0.0,22.037037037037035,44.07407407407407,0.0,0.0,110.18518518518518,132.22222222222223,440.7407407407407,31.29629629629629,62.59259259259258,62.59259259259258,125.18518518518516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,5.0,6.0,20.0,1.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,POLIMET 0082 BARRA 40CM,UN,0082 BARRA,2021-09-17 00:00:00,POLIMET,40CM,2,2,3,3,17,ACESSÓRIOS,ESPORTIVO,GERAL,ANUAL,BARRA
3,1063,0.0,0.0,0.0,47.96296296296296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POLIMET BARRA 1.20CM METAL,UN,0,2017-01-24 00:00:00,POLIMETBARRA,0,2,2,3,3,17,ACESSÓRIOS,ESPORTIVO,GERAL,ANUAL,BARRA
4,2999,410.42592592592587,99.83333333333333,88.74074074074073,155.29629629629628,166.38888888888889,77.64814814814814,232.94444444444443,133.1111111111111,510.25925925925924,354.96296296296293,524.1666666666667,576.9444444444445,336.55555555555554,491.8888888888889,307.01851851851853,530.8518518518518,682.5740740740741,382.90740740740745,491.1296296296296,263.6111111111111,37.0,9.0,8.0,14.0,15.0,7.0,21.0,12.0,46.0,32.0,45.0,45.0,26.0,38.0,21.0,34.0,41.0,23.0,29.0,15.0,WILSON WRT1001 AMA,UN,WRT1001,2022-09-06 00:00:00,WILSON,AMA,2,2,3,3,279,ACESSÓRIOS,ESPORTIVO,GERAL,ANUAL,BOLA TÊNIS
5,17923,0.0,6.462962962962962,0.0,0.0,0.0,0.0,0.0,0.0,38.77777777777777,90.48148148148147,44.33333333333333,174.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,14.0,6.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HAVAIANAS BRASIL/ BCO,PR,BRASIL/,2021-11-29 00:00:00,HAVAIANAS,BCO,1,3,1,3,251,CALÇADOS,GERAL,FEMININO,ANUAL,CHINELO CHINELO
6,19518,4.611111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.77777777777777,29.888888888888886,19.925925925925924,64.75925925925925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,6.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HAVAIANAS TOP/001 BCO,PR,TOP/001,2022-09-02 00:00:00,HAVAIANAS,BCO,1,3,3,3,251,CALÇADOS,GERAL,GERAL,ANUAL,CHINELO CHINELO
7,19587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.888888888888886,49.81481481481481,9.962962962962962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HAVAIANAS TOP/555 MHO,PR,TOP/555,2022-09-02 00:00:00,HAVAIANAS,MHO,1,3,3,3,251,CALÇADOS,GERAL,GERAL,ANUAL,CHINELO CHINELO
8,19639,13.833333333333332,0.0,0.0,4.981481481481481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.83333333333333,19.925925925925924,0.0,0.0,0.0,0.0,0.0,0.0,7.388888888888888,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,HAVAIANAS TOP/ PTO,PR,TOP/,2022-09-02 00:00:00,HAVAIANAS,PTO,1,3,3,3,251,CALÇADOS,GERAL,GERAL,ANUAL,CHINELO CHINELO
9,22139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.6851851851851847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ROMMEL 1002 MEIA MANGA ,UN,0,2020-11-17 00:00:00,ROMMEL,0,3,2,1,3,82,CONFECÇÕES,ESPORTIVO,FEMININO,ANUAL,COLLANT
